charform,frequency,perMILL,zipf,CD_N,CD_percent,CD_log
易,13888,297.5180295326060,5.473513289020080,4154,0.8027053140096620,3.6184664921990800
英,10793,231.2148684292500,5.36401575824829,2770,0.5352657004830920,3.4424797690644500
雅,2115,45.3089453097251,4.6561839528987300,938,0.181256038647343,2.9722028383790600
瞒,219,4.691564549801320,3.671317696027780,171,0.03304347826086960,2.2329961103921500
委,1830,39.203484594230200,4.593324670918100,861,0.1663768115942030,2.935003151453660
婉,339,7.26228485106232,3.8610732793907500,203,0.03922705314009660,2.307496037913210
害,13531,289.87013663635500,5.462203475230480,3869,0.7476328502415460,3.587598729721250
筛,843,18.059310116358500,4.256701155812410,470,0.09082125603864730,2.6720978579357200
答,7608,162.9836670999470,5.212144085117020,2655,0.5130434782608700,3.4240645254174900
言,13362,286.24970554541200,5.456745048605350,3875,0.748792270531401,3.588271706842330
构,9844,210.88475538011100,5.324045186218430,2887,0.5578743961352660,3.4604467838807200
奇,14189,303.9662529549360,5.482825369894930,4186,0.8088888888888890,3.6217992240026700
聪,1663,35.625898841642000,4.551765830407180,873,0.16869565217391300,2.9410142437055700
扔,1801,38.58222718809220,4.586387294007200,913,0.17642512077294700,2.960470777534300
彩,4391,94.06694035697540,4.973437018292050,1999,0.386280193236715,3.300812794118120
站,10582,226.6946852328660,5.355441338383700,3434,0.6635748792270530,3.5358002908249000
舞,5225,111.93344645073900,5.048959875970760,1530,0.2956521739130440,3.184691430817600
设,18762,401.9321191021570,5.604152712814240,3931,0.7596135265700480,3.5945030438200900
挺,32361,693.2589972425600,5.840895514640000,4741,0.9161352657004830,3.6758699553189600
蓝,1917,41.067256812644400,4.613495694065730,904,0.17468599033816400,2.9561684304753600
尾,3806,81.534678888328,4.911342365138670,1768,0.3416425120772950,3.2474822606770500
炎,918,19.666010304646600,4.293716262388910,253,0.04888888888888890,2.403120521175820
阻,1046,22.408111959325000,4.350405265718920,710,0.13719806763285000,2.8512583487190800
破,7283,156.02129961736500,5.193183891141940,3045,0.5884057971014490,3.4835872969688900
裂,1567,33.5693226006332,4.525942577656260,894,0.17275362318840600,2.951337518795920
妊,33,0.7069480828467750,2.849387521065550,12,0.002318840579710150,1.0791812460476200
娠,33,0.7069480828467750,2.849387521065550,12,0.002318840579710150,1.0791812460476200
操,4137,88.62558238597290,4.9475591020831800,1961,0.3789371980676330,3.292477593667780
用,75999,1628.1014347961200,6.2116814590297800,5170,0.9990338164251210,3.7134905430939400
径,1858,39.803319331191100,4.599919290845290,1171,0.22628019323671500,3.068556895072360
胸,778,16.66683661984210,4.221853178177350,422,0.08154589371980680,2.625312450961670
注,14249,305.2516131055660,5.484657967657040,4151,0.8021256038647340,3.6181527333785200
哲,2016,43.188101061184800,4.635364108961150,728,0.14067632850241500,2.862131379313040
伦,2951,63.21829674184340,4.800842790687630,960,0.1855072463768120,2.9822712330395700
动,52684,1128.631902930290,6.052552322268200,5112,0.9878260869565220,3.7085908451503400
刺,3424,73.35121926264720,4.8654073371927800,1637,0.31632850241545900,3.2140486794119400
激,7003,150.02295224775600,5.176157707535660,2780,0.5371980676328500,3.444044795918080
逗,863,18.487763499902000,4.266884376902880,571,0.11033816425120800,2.756636108245850
拍,17289,370.3765274041780,5.568643455488680,3066,0.592463768115942,3.4865721505183600
妙,4169,89.31110779964250,4.950905476313960,2098,0.40541062801932400,3.3218054838575400
偷,2633,56.40588794350170,4.751324440293730,1098,0.21217391304347800,3.040602340114070
证,9632,206.34314951454900,5.314590055101420,3294,0.6365217391304350,3.5177235948337400
误,3806,81.534678888328,4.911342365138670,1935,0.3739130434782610,3.28668096935493
漏,925,19.815968988886900,4.297015313926700,595,0.11497584541062800,2.7745169657285500
央,1131,24.22903883938490,4.384336186113120,512,0.09893719806763290,2.709269960975830
编,7445,159.49177202406800,5.20273828327586,2235,0.4318840579710150,3.3492775274679600
演,29493,631.8187820424220,5.800592532009370,3487,0.673816425120773,3.5424519473759800
懂,8480,181.66423462244400,5.259269433444380,3146,0.6079227053140100,3.497758718287270
衰,939,20.11588635736730,4.3035391734537800,506,0.09777777777777780,2.7041505168398000
泪,1414,30.29165421652540,4.481322990648550,820,0.15845410628019300,2.9138138523837200
洗,5656,121.16661686610200,5.083382981976510,1622,0.3134299516908210,3.2100508498751400
试,14724,315.42738096472500,5.498899389962300,3816,0.7373913043478260,3.5816083660320600
苗,845,18.102155454712900,4.257730290137360,333,0.06434782608695650,2.5224442335063200
食,9313,199.50931804703100,5.299963184142590,1997,0.3858937198067630,3.3003780648707000
慰,1326,28.40645932893400,4.4534171052564200,833,0.16096618357487900,2.9206450014067900
灰,1239,26.542687110519800,4.423944887563730,687,0.1327536231884060,2.8369567370595500
评,14076,301.5454913379150,5.4793528393508200,3680,0.7111111111111110,3.5658478186735200
