transcript_id,token_num,type_num,charactor_token_num,charactor_type_num,logTTR,duration,Wpm
transcript_4060,6495,1284,9828,959,0.8153443894594552,1798.9300000000017,327.7948558309659
transcript_2411,5673,952,8847,728,0.7934964048888703,1797.8000000000009,295.2608744020468
transcript_2377,5689,1338,8667,953,0.8326035139415414,1796.8700000000017,289.40324007858084
transcript_4706,5663,1453,8191,1053,0.8425862995228949,1797.66,273.38873869363505
transcript_3069,6014,1296,9166,945,0.8236227578732354,1799.4700000000012,305.62332242271316
transcript_1695,5710,1240,8136,954,0.8234552392157836,1797.950000000002,271.509218832559
transcript_504,6201,966,9460,739,0.7870816735585972,1799.1699999999992,315.47880411523107
transcript_3082,6413,1079,9710,808,0.7966831247371383,1799.9499999999994,323.6756576571573
transcript_4935,6369,1277,9076,931,0.8165438273989537,1799.1999999999994,302.6678523788351
transcript_262,5186,1187,7717,920,0.8276148947939321,1799.21,257.34627975611517
transcript_276,5922,1115,8885,864,0.8077668364081833,1799.7999999999995,296.19957773085906
transcript_3928,5681,1108,8773,812,0.8109204288997083,1799.0,292.5958866036687
transcript_3096,6252,1080,9447,804,0.7991065850781687,1798.7699999999995,315.1153288080189
transcript_2388,5847,1120,8780,855,0.8094696525560047,1798.150000000001,292.96777243277796
transcript_4921,6114,1390,9205,977,0.8300963175819555,1798.8099999999995,307.03631845497864
transcript_1681,6454,1077,9888,807,0.7958928692820002,1797.6799999999998,330.02536602732414
transcript_510,5544,1183,8502,881,0.8208145958642644,1795.949999999999,284.0390879478829
transcript_1859,5386,918,8052,690,0.7940582108096774,1797.3000000000009,268.80320480721065
transcript_4909,6464,1261,9613,943,0.8137289043056031,1799.4300000000003,320.5348360314099
transcript_538,6861,1184,10053,866,0.8011056669887935,1799.5100000000002,335.19124650599326
transcript_1871,7106,1203,10578,896,0.799731402945968,1798.6699999999996,352.860724868931
transcript_3900,5678,1037,8893,739,0.8033089502683449,1799.749999999999,296.4745103486597
transcript_3914,6126,1248,8954,924,0.8175521216732464,1795.5300000000009,299.20970409851117
transcript_1865,5878,1108,8745,837,0.807735292948036,1798.4400000000005,291.7528524721425
transcript_5154,5853,1180,8885,894,0.8153897962850478,1799.7799999999993,296.20286923957383
transcript_3525,7102,1255,10495,923,0.8045540010081227,1799.0800000000013,350.01222847233004
transcript_1332,6348,1005,9484,769,0.7894958489147896,1797.2199999999991,316.62233894570517
transcript_1454,5724,1046,8561,817,0.8035585559771165,1799.5300000000009,285.44119853517293
transcript_3243,5893,897,8485,701,0.7831641788939161,1798.6899999999996,283.03932306289585
transcript_3257,6700,1159,9758,856,0.8008425328748564,1799.2499999999995,325.40225093789087
transcript_4538,5395,1238,8005,923,0.8287051797766358,1798.9300000000012,266.9920452713556
transcript_2149,5613,1069,8148,847,0.807900808333381,1797.8499999999983,271.92479906555076
transcript_1440,5462,1219,8432,925,0.8257193747870547,1798.74,281.2635511524734
transcript_909,6718,1244,10574,885,0.8086298169841845,1798.56,352.7488657592741
transcript_1326,5577,1028,8185,814,0.8039698367786359,1797.5800000000013,273.2006364111748
transcript_5140,5717,1078,8269,821,0.80715544412811,1799.5100000000002,275.70838728320484
transcript_3531,5897,1195,8527,902,0.8161413304562041,1797.900000000001,284.5653262139161
transcript_2607,5204,916,8058,707,0.7969931801722618,1798.7800000000009,268.78217458499637
transcript_5168,6643,1544,9690,1075,0.8342081197423707,1797.6299999999997,323.42584402797024
transcript_4276,6403,1076,9664,790,0.7965073067065911,1799.959999999999,322.14049201093377
transcript_3519,6671,1265,9711,954,0.8111756378415762,1798.5,323.9699749791493
transcript_4510,6595,1141,9619,838,0.8005010989464029,1799.9299999999994,320.6458028923348
transcript_1468,6760,1241,10265,942,0.8077845534448335,1799.93,342.17997366564254
transcript_921,5432,1092,8228,836,0.8134552532190176,1798.7700000000004,274.45421037709093
transcript_935,5726,1012,8575,810,0.7997071298611818,1798.6699999999998,286.0446885754474
