wordform,frequency,word_length,perMILL,zipf,CD_N,CD_percent,CD_log,pos,pos_freq,dom_pos,dom_pos_freq
嘴屉,26,2,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,['n'],[26],n,26
大词,26,2,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,"['a', 'n']","[2, 24]",n,24
赤诚,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['a'],[26],a,26
简房,26,2,0.8331414971629609,2.9207187663749266,1,0.0001932367149758,0.0,"['n', 'nh']","[25, 1]",n,25
拧开,26,2,0.8331414971629609,2.9207187663749266,15,0.0028985507246376,1.1760912590556811,['v'],[26],v,26
嘴巴子,26,3,0.8331414971629609,2.9207187663749266,11,0.0021256038647342,1.0413926851582251,['n'],[26],n,26
怒呛,26,2,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,['v'],[26],v,26
豁出去,26,3,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,['v'],[26],v,26
编译,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,"['n', 'v']","[8, 18]",v,18
讲解员,26,3,0.8331414971629609,2.9207187663749266,15,0.0028985507246376,1.1760912590556811,['n'],[26],n,26
花名,26,2,0.8331414971629609,2.9207187663749266,12,0.0023188405797101,1.0791812460476249,"['n', 'v']","[23, 3]",n,23
注释,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,"['n', 'v']","[15, 11]",n,15
中规,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,"['b', 'i', 'n', 'v']","[17, 5, 1, 3]",b,17
太阳神,26,3,0.8331414971629609,2.9207187663749266,12,0.0023188405797101,1.0791812460476249,"['n', 'nz']","[22, 4]",n,22
伯克利,26,3,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,"['nh', 'ns', 'nz']","[14, 7, 5]",nh,14
羚羊,26,2,0.8331414971629609,2.9207187663749266,9,0.0017391304347826,0.9542425094393248,['n'],[26],n,26
和谈,26,2,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,"['c', 'v']","[1, 25]",v,25
说理,26,2,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,"['a', 'v']","[1, 25]",v,25
叙,26,1,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,"['j', 'v']","[8, 18]",v,18
干员,26,2,0.8331414971629609,2.9207187663749266,2,0.0003864734299516,0.3010299956639812,['n'],[26],n,26
瘫,26,1,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,['v'],[26],v,26
业内人士,26,4,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,['n'],[26],n,26
不好吃,26,3,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,"['a', 'd']","[25, 1]",a,25
能量场,26,3,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,['n'],[26],n,26
世纪初,26,3,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,"['n', 'nt']","[6, 20]",nt,20
且不说,26,3,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,"['c', 'd', 'i']","[24, 1, 1]",c,24
难为,26,2,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,"['a', 'i', 'v']","[10, 1, 15]",v,15
人文主义,26,4,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,['n'],[26],n,26
瘦子,26,2,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,['n'],[26],n,26
金奖,26,2,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,['n'],[26],n,26
祸害,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,"['i', 'n', 'v']","[1, 8, 17]",v,17
爱恋,26,2,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,['v'],[26],v,26
一旁,26,2,0.8331414971629609,2.9207187663749266,26,0.0050241545893719,1.414973347970818,['nd'],[26],nd,26
肌瘤,26,2,0.8331414971629609,2.9207187663749266,12,0.0023188405797101,1.0791812460476249,['n'],[26],n,26
焉,26,1,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,"['i', 'r', 'u']","[1, 3, 22]",u,22
佳节,26,2,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,['n'],[26],n,26
挥霍,26,2,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,"['i', 'v']","[1, 25]",v,25
全服,26,2,0.8331414971629609,2.9207187663749266,3,0.0005797101449275,0.4771212547196624,"['a', 'd', 'n', 'nh', 'ns', 'v']","[1, 4, 18, 1, 1, 1]",n,18
薛定谔,26,3,0.8331414971629609,2.9207187663749266,15,0.0028985507246376,1.1760912590556811,['nh'],[26],nh,26
月刊,26,2,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,['n'],[26],n,26
会所,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,"['n', 'v']","[25, 1]",n,25
腊八粥,26,3,0.8331414971629609,2.9207187663749266,3,0.0005797101449275,0.4771212547196624,['n'],[26],n,26
酿成,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['v'],[26],v,26
茶妹,26,2,0.8331414971629609,2.9207187663749266,4,0.0007729468599033,0.6020599913279624,['n'],[26],n,26
淮河,26,2,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,['ns'],[26],ns,26
起始,26,2,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,"['n', 'v']","[1, 25]",v,25
罪过,26,2,0.8331414971629609,2.9207187663749266,20,0.0038647342995169,1.3010299956639813,"['n', 'v']","[25, 1]",n,25
硅胶,26,2,0.8331414971629609,2.9207187663749266,11,0.0021256038647342,1.0413926851582251,['n'],[26],n,26
罪恶感,26,3,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['n'],[26],n,26
艾兰娜,26,3,0.8331414971629609,2.9207187663749266,3,0.0005797101449275,0.4771212547196624,['nh'],[26],nh,26
战车,26,2,0.8331414971629609,2.9207187663749266,17,0.0032850241545893,1.230448921378274,['n'],[26],n,26
星期四,26,3,0.8331414971629609,2.9207187663749266,20,0.0038647342995169,1.3010299956639813,['nt'],[26],nt,26
活络,26,2,0.8331414971629609,2.9207187663749266,20,0.0038647342995169,1.3010299956639813,"['a', 'n', 'nz', 'v']","[4, 2, 1, 19]",v,19
脱底,26,2,0.8331414971629609,2.9207187663749266,15,0.0028985507246376,1.1760912590556811,['v'],[26],v,26
理性化,26,3,0.8331414971629609,2.9207187663749266,20,0.0038647342995169,1.3010299956639813,['v'],[26],v,26
当日,26,2,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,['nt'],[26],nt,26
净化器,26,3,0.8331414971629609,2.9207187663749266,7,0.0013526570048309,0.8450980400142568,['n'],[26],n,26
信誉,26,2,0.8331414971629609,2.9207187663749266,20,0.0038647342995169,1.3010299956639813,['n'],[26],n,26
抽筋,26,2,0.8331414971629609,2.9207187663749266,17,0.0032850241545893,1.230448921378274,"['i', 'n', 'v']","[1, 1, 24]",v,24
六七百,26,3,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,['m'],[26],m,26
摇篮,26,2,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,['n'],[26],n,26
